,S&P_500,NASDAQ,US_10Y_Bond,VIX,Unemployment_Rate,CPI
2021-07-12,4384.6298828125,14733.240234375,1.3630000352859497,16.170000076293945,5.4,271.903
2021-07-13,4369.2099609375,14677.650390625,1.4149999618530273,17.1200008392334,5.4,271.903
2021-07-14,4374.2998046875,14644.9501953125,1.3559999465942383,16.329999923706055,5.4,271.903
2021-07-15,4360.02978515625,14543.1298828125,1.2970000505447388,17.010000228881836,5.4,271.903
2021-07-16,4327.16015625,14427.240234375,1.2999999523162842,18.450000762939453,5.4,271.903
2021-07-19,4258.490234375,14274.98046875,1.180999994277954,22.5,5.4,271.903
2021-07-20,4323.06005859375,14498.8798828125,1.2089999914169312,19.729999542236328,5.4,271.903
2021-07-21,4358.68994140625,14631.9501953125,1.2799999713897705,17.90999984741211,5.4,271.903
2021-07-22,4367.47998046875,14684.599609375,1.2649999856948853,17.690000534057617,5.4,271.903
2021-07-23,4411.7900390625,14836.990234375,1.2860000133514404,17.200000762939453,5.4,271.903
2021-07-26,4422.2998046875,14840.7099609375,1.2760000228881836,17.579999923706055,5.4,271.903
2021-07-27,4401.4599609375,14660.580078125,1.2339999675750732,19.360000610351562,5.4,271.903
2021-07-28,4400.64013671875,14762.580078125,1.2610000371932983,18.309999465942383,5.4,271.903
2021-07-29,4419.14990234375,14778.259765625,1.2690000534057617,17.700000762939453,5.4,271.903
2021-07-30,4395.259765625,14672.6796875,1.2389999628067017,18.239999771118164,5.4,271.903
2021-08-01,4395.259765625,14672.6796875,1.2389999628067017,18.239999771118164,5.1,272.676
2021-08-02,4387.16015625,14681.0703125,1.1740000247955322,19.459999084472656,5.1,272.676
2021-08-03,4423.14990234375,14761.2900390625,1.1759999990463257,18.040000915527344,5.1,272.676
2021-08-04,4402.66015625,14780.5302734375,1.184000015258789,17.969999313354492,5.1,272.676
2021-08-05,4429.10009765625,14895.1201171875,1.2170000076293945,17.280000686645508,5.1,272.676
2021-08-06,4436.52001953125,14835.759765625,1.2899999618530273,16.149999618530273,5.1,272.676
2021-08-09,4432.35009765625,14860.1796875,1.3170000314712524,16.719999313354492,5.1,272.676
2021-08-10,4436.75,14788.08984375,1.3420000076293945,16.790000915527344,5.1,272.676
2021-08-11,4442.41015625,14765.1396484375,1.3289999961853027,16.170000076293945,5.1,272.676
2021-08-12,4460.830078125,14816.259765625,1.3669999837875366,15.59000015258789,5.1,272.676
2021-08-13,4468.0,14822.900390625,1.2970000505447388,15.449999809265137,5.1,272.676
2021-08-16,4479.7099609375,14793.759765625,1.2569999694824219,16.1200008392334,5.1,272.676
2021-08-17,4448.080078125,14656.1796875,1.2580000162124634,17.90999984741211,5.1,272.676
2021-08-18,4400.27001953125,14525.91015625,1.2730000019073486,21.56999969482422,5.1,272.676
2021-08-19,4405.7998046875,14541.7900390625,1.2419999837875366,21.670000076293945,5.1,272.676
2021-08-20,4441.669921875,14714.66015625,1.2599999904632568,18.559999465942383,5.1,272.676
2021-08-23,4479.52978515625,14942.650390625,1.2549999952316284,17.149999618530273,5.1,272.676
2021-08-24,4486.22998046875,15019.7998046875,1.2899999618530273,17.219999313354492,5.1,272.676
2021-08-25,4496.18994140625,15041.8603515625,1.3420000076293945,16.790000915527344,5.1,272.676
2021-08-26,4470.0,14945.8095703125,1.3420000076293945,18.84000015258789,5.1,272.676
2021-08-27,4509.3701171875,15129.5,1.312000036239624,16.389999389648438,5.1,272.676
2021-08-30,4528.7900390625,15265.8896484375,1.284999966621399,16.190000534057617,5.1,272.676
2021-08-31,4522.68017578125,15259.240234375,1.3040000200271606,16.479999542236328,5.1,272.676
2021-09-01,4524.08984375,15309.3798828125,1.3020000457763672,16.110000610351562,4.7,273.91
2021-09-02,4536.9501953125,15331.1796875,1.2940000295639038,16.40999984741211,4.7,273.91
2021-09-03,4535.43017578125,15363.51953125,1.3220000267028809,16.40999984741211,4.7,273.91
2021-09-07,4520.02978515625,15374.330078125,1.3700000047683716,18.139999389648438,4.7,273.91
2021-09-08,4514.06982421875,15286.6396484375,1.3339999914169312,17.959999084472656,4.7,273.91
2021-09-09,4493.27978515625,15248.25,1.2990000247955322,18.799999237060547,4.7,273.91
2021-09-10,4458.580078125,15115.490234375,1.340999960899353,20.950000762939453,4.7,273.91
2021-09-13,4468.72998046875,15105.580078125,1.3240000009536743,19.3700008392334,4.7,273.91
2021-09-14,4443.0498046875,15037.759765625,1.2769999504089355,19.459999084472656,4.7,273.91
2021-09-15,4480.7001953125,15161.5302734375,1.3040000200271606,18.18000030517578,4.7,273.91
2021-09-16,4473.75,15181.919921875,1.3309999704360962,18.690000534057617,4.7,273.91
2021-09-17,4432.990234375,15043.9697265625,1.3700000047683716,20.809999465942383,4.7,273.91
2021-09-20,4357.72998046875,14713.900390625,1.309000015258789,25.709999084472656,4.7,273.91
2021-09-21,4354.18994140625,14746.400390625,1.3240000009536743,24.360000610351562,4.7,273.91
2021-09-22,4395.64013671875,14896.849609375,1.3359999656677246,20.8700008392334,4.7,273.91
2021-09-23,4448.97998046875,15052.240234375,1.409999966621399,18.6299991607666,4.7,273.91
2021-09-24,4455.47998046875,15047.7001953125,1.4600000381469727,17.75,4.7,273.91
2021-09-27,4443.10986328125,14969.9697265625,1.4839999675750732,18.760000228881836,4.7,273.91
2021-09-28,4352.6298828125,14546.6796875,1.534000039100647,23.25,4.7,273.91
2021-09-29,4359.4599609375,14512.4404296875,1.5410000085830688,22.559999465942383,4.7,273.91
2021-09-30,4307.5400390625,14448.580078125,1.5290000438690186,23.139999389648438,4.7,273.91
2021-10-01,4357.0400390625,14566.7001953125,1.4789999723434448,21.100000381469727,4.5,276.55
2021-10-04,4300.4599609375,14255.48046875,1.4809999465942383,22.959999084472656,4.5,276.55
2021-10-05,4345.72021484375,14433.830078125,1.5290000438690186,21.299999237060547,4.5,276.55
2021-10-06,4363.5498046875,14501.91015625,1.5240000486373901,21.0,4.5,276.55
2021-10-07,4399.759765625,14654.01953125,1.5709999799728394,19.540000915527344,4.5,276.55
2021-10-08,4391.33984375,14579.5400390625,1.6050000190734863,18.770000457763672,4.5,276.55
2021-10-11,4361.18994140625,14486.2001953125,1.6139999628067017,20.0,4.5,276.55
2021-10-12,4350.64990234375,14465.919921875,1.5800000429153442,19.850000381469727,4.5,276.55
2021-10-13,4363.7998046875,14571.6396484375,1.5490000247955322,18.639999389648438,4.5,276.55
2021-10-14,4438.259765625,14823.4296875,1.5190000534057617,16.860000610351562,4.5,276.55
2021-10-15,4471.3701171875,14897.33984375,1.5759999752044678,16.299999237060547,4.5,276.55
2021-10-18,4486.4599609375,15021.8095703125,1.5839999914169312,16.309999465942383,4.5,276.55
2021-10-19,4519.6298828125,15129.08984375,1.6349999904632568,15.699999809265137,4.5,276.55
2021-10-20,4536.18994140625,15121.6796875,1.6360000371932983,15.489999771118164,4.5,276.55
2021-10-21,4549.77978515625,15215.7001953125,1.6759999990463257,15.010000228881836,4.5,276.55
2021-10-22,4544.89990234375,15090.2001953125,1.6549999713897705,15.430000305175781,4.5,276.55
2021-10-25,4566.47998046875,15226.7099609375,1.6349999904632568,15.239999771118164,4.5,276.55
2021-10-26,4574.7900390625,15235.7099609375,1.61899995803833,15.979999542236328,4.5,276.55
2021-10-27,4551.68017578125,15235.83984375,1.5290000438690186,16.979999542236328,4.5,276.55
2021-10-28,4596.419921875,15448.1201171875,1.5679999589920044,16.530000686645508,4.5,276.55
2021-10-29,4605.3798828125,15498.3896484375,1.5570000410079956,16.260000228881836,4.5,276.55
2021-11-01,4613.669921875,15595.919921875,1.5750000476837158,16.40999984741211,4.1,278.919
2021-11-02,4630.64990234375,15649.599609375,1.5490000247955322,16.030000686645508,4.1,278.919
2021-11-03,4660.56982421875,15811.580078125,1.5789999961853027,15.100000381469727,4.1,278.919
2021-11-04,4680.06005859375,15940.3095703125,1.5240000486373901,15.4399995803833,4.1,278.919
2021-11-05,4697.52978515625,15971.58984375,1.4529999494552612,16.479999542236328,4.1,278.919
2021-11-08,4701.7001953125,15982.3603515625,1.496999979019165,17.219999313354492,4.1,278.919
2021-11-09,4685.25,15886.5400390625,1.4320000410079956,17.780000686645508,4.1,278.919
2021-11-10,4646.7099609375,15622.7099609375,1.559999942779541,18.729999542236328,4.1,278.919
2021-11-11,4649.27001953125,15704.2802734375,1.559999942779541,17.65999984741211,4.1,278.919
2021-11-12,4682.85009765625,15860.9599609375,1.5820000171661377,16.290000915527344,4.1,278.919
2021-11-15,4682.7998046875,15853.849609375,1.6230000257492065,16.489999771118164,4.1,278.919
2021-11-16,4700.89990234375,15973.8603515625,1.6339999437332153,16.3700008392334,4.1,278.919
2021-11-17,4688.669921875,15921.5703125,1.6039999723434448,17.110000610351562,4.1,278.919
2021-11-18,4704.5400390625,15993.7099609375,1.5889999866485596,17.59000015258789,4.1,278.919
2021-11-19,4697.9599609375,16057.4404296875,1.5360000133514404,17.90999984741211,4.1,278.919
2021-11-22,4682.93994140625,15854.759765625,1.625,19.170000076293945,4.1,278.919
2021-11-23,4690.7001953125,15775.1396484375,1.6670000553131104,19.3799991607666,4.1,278.919
2021-11-24,4701.4599609375,15845.23046875,1.6449999809265137,18.579999923706055,4.1,278.919
2021-11-26,4594.6201171875,15491.66015625,1.4819999933242798,28.6200008392334,4.1,278.919
2021-11-29,4655.27001953125,15782.830078125,1.5299999713897705,22.959999084472656,4.1,278.919
2021-11-30,4567.0,15537.6904296875,1.4429999589920044,27.190000534057617,4.1,278.919
2021-12-01,4513.0400390625,15254.0498046875,1.434000015258789,31.1200008392334,3.9,280.845
2021-12-02,4577.10009765625,15381.3203125,1.4479999542236328,27.950000762939453,3.9,280.845
2021-12-03,4538.43017578125,15085.4697265625,1.343000054359436,30.670000076293945,3.9,280.845
2021-12-06,4591.669921875,15225.150390625,1.434000015258789,27.18000030517578,3.9,280.845
2021-12-07,4686.75,15686.919921875,1.4800000190734863,21.889999389648438,3.9,280.845
2021-12-08,4701.2099609375,15786.990234375,1.5089999437332153,19.899999618530273,3.9,280.845
2021-12-09,4667.4501953125,15517.3701171875,1.4869999885559082,21.579999923706055,3.9,280.845
2021-12-10,4712.02001953125,15630.599609375,1.4889999628067017,18.690000534057617,3.9,280.845
2021-12-13,4668.97021484375,15413.2802734375,1.4240000247955322,20.309999465942383,3.9,280.845
2021-12-14,4634.08984375,15237.6396484375,1.437999963760376,21.889999389648438,3.9,280.845
2021-12-15,4709.85009765625,15565.580078125,1.4630000591278076,19.290000915527344,3.9,280.845
2021-12-16,4668.669921875,15180.4296875,1.4220000505447388,20.56999969482422,3.9,280.845
2021-12-17,4620.64013671875,15169.6796875,1.4019999504089355,21.56999969482422,3.9,280.845
2021-12-20,4568.02001953125,14980.9404296875,1.4190000295639038,22.8700008392334,3.9,280.845
2021-12-21,4649.22998046875,15341.08984375,1.4869999885559082,21.010000228881836,3.9,280.845
2021-12-22,4696.56005859375,15521.8896484375,1.4570000171661377,18.6299991607666,3.9,280.845
2021-12-23,4725.7900390625,15653.3701171875,1.4930000305175781,17.959999084472656,3.9,280.845
2021-12-27,4791.18994140625,15871.259765625,1.4809999465942383,17.68000030517578,3.9,280.845
2021-12-28,4786.35009765625,15781.7197265625,1.4809999465942383,17.540000915527344,3.9,280.845
2021-12-29,4793.06005859375,15766.2197265625,1.5429999828338623,16.950000762939453,3.9,280.845
2021-12-30,4778.72998046875,15741.5595703125,1.5149999856948853,17.329999923706055,3.9,280.845
2021-12-31,4766.18017578125,15644.9697265625,1.5119999647140503,17.219999313354492,3.9,280.845
2022-01-01,4766.18017578125,15644.9697265625,1.5119999647140503,17.219999313354492,4.0,282.543
2022-01-03,4796.56005859375,15832.7998046875,1.628000020980835,16.600000381469727,4.0,282.543
2022-01-04,4793.5400390625,15622.7197265625,1.6679999828338623,16.90999984741211,4.0,282.543
2022-01-05,4700.580078125,15100.169921875,1.7050000429153442,19.729999542236328,4.0,282.543
2022-01-06,4696.0498046875,15080.8603515625,1.7330000400543213,19.610000610351562,4.0,282.543
2022-01-07,4677.02978515625,14935.900390625,1.7710000276565552,18.760000228881836,4.0,282.543
2022-01-10,4670.2900390625,14942.830078125,1.7799999713897705,19.399999618530273,4.0,282.543
2022-01-11,4713.06982421875,15153.4501953125,1.746000051498413,18.40999984741211,4.0,282.543
2022-01-12,4726.35009765625,15188.3896484375,1.725000023841858,17.6200008392334,4.0,282.543
2022-01-13,4659.02978515625,14806.8095703125,1.7109999656677246,20.309999465942383,4.0,282.543
2022-01-14,4662.85009765625,14893.75,1.7719999551773071,19.190000534057617,4.0,282.543
2022-01-18,4577.10986328125,14506.900390625,1.8650000095367432,22.790000915527344,4.0,282.543
2022-01-19,4532.759765625,14340.259765625,1.8270000219345093,23.850000381469727,4.0,282.543
2022-01-20,4482.72998046875,14154.01953125,1.8329999446868896,25.59000015258789,4.0,282.543
2022-01-21,4397.93994140625,13768.919921875,1.746999979019165,28.850000381469727,4.0,282.543
2022-01-24,4410.1298828125,13855.1298828125,1.7350000143051147,29.899999618530273,4.0,282.543
2022-01-25,4356.4501953125,13539.2900390625,1.7829999923706055,31.15999984741211,4.0,282.543
2022-01-26,4349.93017578125,13542.1201171875,1.8480000495910645,31.959999084472656,4.0,282.543
2022-01-27,4326.509765625,13352.7802734375,1.8070000410079956,30.489999771118164,4.0,282.543
2022-01-28,4431.85009765625,13770.5703125,1.781999945640564,27.65999984741211,4.0,282.543
2022-01-31,4515.5498046875,14239.8798828125,1.781999945640564,24.829999923706055,4.0,282.543
2022-02-01,4546.5400390625,14346.0,1.7999999523162842,21.959999084472656,3.9,284.5
2022-02-02,4589.3798828125,14417.5498046875,1.7660000324249268,22.09000015258789,3.9,284.5
2022-02-03,4477.43994140625,13878.8203125,1.8270000219345093,24.350000381469727,3.9,284.5
2022-02-04,4500.52978515625,14098.009765625,1.9299999475479126,23.219999313354492,3.9,284.5
2022-02-07,4483.8701171875,14015.669921875,1.9160000085830688,22.860000610351562,3.9,284.5
2022-02-08,4521.5400390625,14194.4501953125,1.9539999961853027,21.440000534057617,3.9,284.5
2022-02-09,4587.18017578125,14490.3701171875,1.9290000200271606,19.959999084472656,3.9,284.5
2022-02-10,4504.080078125,14185.6396484375,2.0309998989105225,23.90999984741211,3.9,284.5
2022-02-11,4418.64013671875,13791.150390625,1.9550000429153442,27.360000610351562,3.9,284.5
2022-02-14,4401.669921875,13790.919921875,1.996000051498413,28.329999923706055,3.9,284.5
2022-02-15,4471.06982421875,14139.759765625,2.0450000762939453,25.700000762939453,3.9,284.5
2022-02-16,4475.009765625,14124.08984375,2.046999931335449,24.290000915527344,3.9,284.5
2022-02-17,4380.259765625,13716.7197265625,1.972000002861023,28.110000610351562,3.9,284.5
2022-02-18,4348.8701171875,13548.0703125,1.9320000410079956,27.75,3.9,284.5
2022-02-22,4304.759765625,13381.51953125,1.9479999542236328,28.809999465942383,3.9,284.5
2022-02-23,4225.5,13037.490234375,1.9769999980926514,31.020000457763672,3.9,284.5
2022-02-24,4288.7001953125,13473.58984375,1.968999981880188,30.31999969482422,3.9,284.5
2022-02-25,4384.64990234375,13694.6201171875,1.9859999418258667,27.59000015258789,3.9,284.5
2022-02-28,4373.93994140625,13751.400390625,1.8389999866485596,30.149999618530273,3.9,284.5
2022-03-01,4306.259765625,13532.4599609375,1.7070000171661377,33.31999969482422,3.7,287.674
2022-03-02,4386.5400390625,13752.01953125,1.8650000095367432,30.739999771118164,3.7,287.674
2022-03-03,4363.490234375,13537.9404296875,1.843999981880188,30.479999542236328,3.7,287.674
2022-03-04,4328.8701171875,13313.4404296875,1.7239999771118164,31.979999542236328,3.7,287.674
2022-03-07,4201.08984375,12830.9599609375,1.7510000467300415,36.45000076293945,3.7,287.674
2022-03-08,4170.7001953125,12795.5498046875,1.871999979019165,35.130001068115234,3.7,287.674
2022-03-09,4277.8798828125,13255.5498046875,1.9479999542236328,32.45000076293945,3.7,287.674
2022-03-10,4259.52001953125,13129.9599609375,2.010999917984009,30.229999542236328,3.7,287.674
2022-03-11,4204.31005859375,12843.8095703125,2.003999948501587,30.75,3.7,287.674
2022-03-14,4173.10986328125,12581.2197265625,2.140000104904175,31.770000457763672,3.7,287.674
2022-03-15,4262.4501953125,12948.6201171875,2.1600000858306885,29.829999923706055,3.7,287.674
2022-03-16,4357.85986328125,13436.5498046875,2.187999963760376,26.670000076293945,3.7,287.674
2022-03-17,4411.669921875,13614.7802734375,2.191999912261963,25.670000076293945,3.7,287.674
2022-03-18,4463.1201171875,13893.83984375,2.1480000019073486,23.8700008392334,3.7,287.674
2022-03-21,4461.18017578125,13838.4599609375,2.315000057220459,23.530000686645508,3.7,287.674
2022-03-22,4511.60986328125,14108.8203125,2.372999906539917,22.940000534057617,3.7,287.674
2022-03-23,4456.240234375,13922.599609375,2.321000099182129,23.56999969482422,3.7,287.674
2022-03-24,4520.16015625,14191.83984375,2.3410000801086426,21.670000076293945,3.7,287.674
2022-03-25,4543.06005859375,14169.2998046875,2.492000102996826,20.809999465942383,3.7,287.674
2022-03-28,4575.52001953125,14354.900390625,2.4769999980926514,19.6299991607666,3.7,287.674
2022-03-29,4631.60009765625,14619.6396484375,2.4000000953674316,18.899999618530273,3.7,287.674
2022-03-30,4602.4501953125,14442.26953125,2.3580000400543213,19.329999923706055,3.7,287.674
2022-03-31,4530.41015625,14220.51953125,2.3269999027252197,20.559999465942383,3.7,287.674
2022-04-01,4545.85986328125,14261.5,2.377000093460083,19.6299991607666,3.7,288.561
2022-04-04,4582.64013671875,14532.5498046875,2.4119999408721924,18.56999969482422,3.7,288.561
2022-04-05,4525.1201171875,14204.169921875,2.555999994277954,21.030000686645508,3.7,288.561
2022-04-06,4481.14990234375,13888.8203125,2.6089999675750732,22.100000381469727,3.7,288.561
2022-04-07,4500.2099609375,13897.2998046875,2.6519999504089355,21.549999237060547,3.7,288.561
2022-04-08,4488.27978515625,13711.0,2.7130000591278076,21.15999984741211,3.7,288.561
2022-04-11,4412.52978515625,13411.9599609375,2.7799999713897705,24.3700008392334,3.7,288.561
2022-04-12,4397.4501953125,13371.5703125,2.7249999046325684,24.260000228881836,3.7,288.561
2022-04-13,4446.58984375,13643.58984375,2.687000036239624,21.81999969482422,3.7,288.561
2022-04-14,4392.58984375,13351.080078125,2.828000068664551,22.700000762939453,3.7,288.561
2022-04-18,4391.68994140625,13332.3603515625,2.861999988555908,22.170000076293945,3.7,288.561
2022-04-19,4462.2099609375,13619.66015625,2.9130001068115234,21.3700008392334,3.7,288.561
2022-04-20,4459.4501953125,13453.0703125,2.8399999141693115,20.31999969482422,3.7,288.561
2022-04-21,4393.66015625,13174.650390625,2.9170000553131104,22.68000030517578,3.7,288.561
2022-04-22,4271.77978515625,12839.2900390625,2.9059998989105225,28.209999084472656,3.7,288.561
2022-04-25,4296.1201171875,13004.849609375,2.8259999752044678,27.020000457763672,3.7,288.561
2022-04-26,4175.2001953125,12490.740234375,2.7720000743865967,33.52000045776367,3.7,288.561
2022-04-27,4183.9599609375,12488.9296875,2.818000078201294,31.600000381469727,3.7,288.561
2022-04-28,4287.5,12871.5302734375,2.86299991607666,29.989999771118164,3.7,288.561
2022-04-29,4131.93017578125,12334.6396484375,2.88700008392334,33.400001525878906,3.7,288.561
2022-05-01,4131.93017578125,12334.6396484375,2.88700008392334,33.400001525878906,3.6,291.298
2022-05-02,4155.3798828125,12536.01953125,2.996000051498413,32.34000015258789,3.6,291.298
2022-05-03,4175.47998046875,12563.759765625,2.9600000381469727,29.25,3.6,291.298
2022-05-04,4300.169921875,12964.8603515625,2.9170000553131104,25.420000076293945,3.6,291.298
2022-05-05,4146.8701171875,12317.6904296875,3.065999984741211,31.200000762939453,3.6,291.298
2022-05-06,4123.33984375,12144.66015625,3.122999906539917,30.190000534057617,3.6,291.298
2022-05-09,3991.239990234375,11623.25,3.0789999961853027,34.75,3.6,291.298
2022-05-10,4001.050048828125,11737.669921875,2.993000030517578,32.9900016784668,3.6,291.298
2022-05-11,3935.179931640625,11364.240234375,2.9210000038146973,32.560001373291016,3.6,291.298
2022-05-12,3930.080078125,11370.9599609375,2.816999912261963,31.770000457763672,3.6,291.298
2022-05-13,4023.889892578125,11805.0,2.934999942779541,28.8700008392334,3.6,291.298
2022-05-16,4008.010009765625,11662.7900390625,2.877000093460083,27.469999313354492,3.6,291.298
2022-05-17,4088.85009765625,11984.51953125,2.9679999351501465,26.100000381469727,3.6,291.298
2022-05-18,3923.679931640625,11418.150390625,2.885999917984009,30.959999084472656,3.6,291.298
2022-05-19,3900.7900390625,11388.5,2.8550000190734863,29.350000381469727,3.6,291.298
2022-05-20,3901.360107421875,11354.6201171875,2.7869999408721924,29.43000030517578,3.6,291.298
2022-05-23,3973.75,11535.26953125,2.8589999675750732,28.479999542236328,3.6,291.298
2022-05-24,3941.47998046875,11264.4501953125,2.759999990463257,29.450000762939453,3.6,291.298
2022-05-25,3978.72998046875,11434.740234375,2.749000072479248,28.3700008392334,3.6,291.298
2022-05-26,4057.840087890625,11740.650390625,2.75600004196167,27.5,3.6,291.298
2022-05-27,4158.240234375,12131.1298828125,2.743000030517578,25.719999313354492,3.6,291.298
2022-05-31,4132.14990234375,12081.3896484375,2.8440001010894775,26.190000534057617,3.6,291.298
